Account Name	Account Number	Brand code	Brand name
Just Energy Account 00248	ACC00000248	JE	Just Energy
Shell Energy Account 00249	ACC00000249	SE	Shell Energy
Pulse Power Account 00250	ACC00000250	PP	Pulse Power
Just Energy Account 00251	ACC00000251	JE	Just Energy
Shell Energy Account 00252	ACC00000252	SE	Shell Energy
Pulse Power Account 00253	ACC00000253	PP	Pulse Power
Just Energy Account 00254	ACC00000254	JE	Just Energy
Shell Energy Account 00255	ACC00000255	SE	Shell Energy
Pulse Power Account 00256	ACC00000256	PP	Pulse Power
Just Energy Account 00257	ACC00000257	JE	Just Energy
Shell Energy Account 00258	ACC00000258	SE	Shell Energy
Pulse Power Account 00259	ACC00000259	PP	Pulse Power
Just Energy Account 00260	ACC00000260	JE	Just Energy
Shell Energy Account 00261	ACC00000261	SE	Shell Energy
Pulse Power Account 00262	ACC00000262	PP	Pulse Power
Just Energy Account 00263	ACC00000263	JE	Just Energy
Shell Energy Account 00264	ACC00000264	SE	Shell Energy
Pulse Power Account 00265	ACC00000265	PP	Pulse Power
Just Energy Account 00266	ACC00000266	JE	Just Energy
Shell Energy Account 00267	ACC00000267	SE	Shell Energy
Pulse Power Account 00268	ACC00000268	PP	Pulse Power
Just Energy Account 00269	ACC00000269	JE	Just Energy
Shell Energy Account 00270	ACC00000270	SE	Shell Energy
Pulse Power Account 00271	ACC00000271	PP	Pulse Power
Just Energy Account 00272	ACC00000272	JE	Just Energy
Shell Energy Account 00273	ACC00000273	SE	Shell Energy
Pulse Power Account 00274	ACC00000274	PP	Pulse Power
Just Energy Account 00275	ACC00000275	JE	Just Energy
Shell Energy Account 00276	ACC00000276	SE	Shell Energy
Pulse Power Account 00277	ACC00000277	PP	Pulse Power
Just Energy Account 00278	ACC00000278	JE	Just Energy
Shell Energy Account 00279	ACC00000279	SE	Shell Energy
Pulse Power Account 00280	ACC00000280	PP	Pulse Power
Just Energy Account 00281	ACC00000281	JE	Just Energy
Shell Energy Account 00282	ACC00000282	SE	Shell Energy
Pulse Power Account 00283	ACC00000283	PP	Pulse Power
Just Energy Account 00284	ACC00000284	JE	Just Energy
Shell Energy Account 00285	ACC00000285	SE	Shell Energy
Pulse Power Account 00286	ACC00000286	PP	Pulse Power
Just Energy Account 00287	ACC00000287	JE	Just Energy
Shell Energy Account 00288	ACC00000288	SE	Shell Energy
Pulse Power Account 00289	ACC00000289	PP	Pulse Power
Just Energy Account 00290	ACC00000290	JE	Just Energy
Shell Energy Account 00291	ACC00000291	SE	Shell Energy
Pulse Power Account 00292	ACC00000292	PP	Pulse Power
Just Energy Account 00293	ACC00000293	JE	Just Energy
Shell Energy Account 00294	ACC00000294	SE	Shell Energy
Pulse Power Account 00295	ACC00000295	PP	Pulse Power
Just Energy Account 00296	ACC00000296	JE	Just Energy
Shell Energy Account 00297	ACC00000297	SE	Shell Energy
Pulse Power Account 00298	ACC00000298	PP	Pulse Power
Just Energy Account 00299	ACC00000299	JE	Just Energy
Shell Energy Account 00300	ACC00000300	SE	Shell Energy
Pulse Power Account 00301	ACC00000301	PP	Pulse Power
Just Energy Account 00302	ACC00000302	JE	Just Energy
Shell Energy Account 00303	ACC00000303	SE	Shell Energy
Pulse Power Account 00304	ACC00000304	PP	Pulse Power
Just Energy Account 00305	ACC00000305	JE	Just Energy
Shell Energy Account 00306	ACC00000306	SE	Shell Energy
Pulse Power Account 00307	ACC00000307	PP	Pulse Power
Just Energy Account 00308	ACC00000308	JE	Just Energy
Shell Energy Account 00309	ACC00000309	SE	Shell Energy
Pulse Power Account 00310	ACC00000310	PP	Pulse Power
Just Energy Account 00311	ACC00000311	JE	Just Energy
Shell Energy Account 00312	ACC00000312	SE	Shell Energy
Pulse Power Account 00313	ACC00000313	PP	Pulse Power
Just Energy Account 00314	ACC00000314	JE	Just Energy
Shell Energy Account 00315	ACC00000315	SE	Shell Energy
Pulse Power Account 00316	ACC00000316	PP	Pulse Power
Just Energy Account 00317	ACC00000317	JE	Just Energy
Shell Energy Account 00318	ACC00000318	SE	Shell Energy
Pulse Power Account 00319	ACC00000319	PP	Pulse Power
Just Energy Account 00320	ACC00000320	JE	Just Energy
Shell Energy Account 00321	ACC00000321	SE	Shell Energy
Pulse Power Account 00322	ACC00000322	PP	Pulse Power
Just Energy Account 00323	ACC00000323	JE	Just Energy
Shell Energy Account 00324	ACC00000324	SE	Shell Energy
Pulse Power Account 00325	ACC00000325	PP	Pulse Power
Just Energy Account 00326	ACC00000326	JE	Just Energy
Shell Energy Account 00327	ACC00000327	SE	Shell Energy
Pulse Power Account 00328	ACC00000328	PP	Pulse Power
Just Energy Account 00329	ACC00000329	JE	Just Energy
Shell Energy Account 00330	ACC00000330	SE	Shell Energy
Pulse Power Account 00331	ACC00000331	PP	Pulse Power
Just Energy Account 00332	ACC00000332	JE	Just Energy
Shell Energy Account 00333	ACC00000333	SE	Shell Energy
Pulse Power Account 00334	ACC00000334	PP	Pulse Power
Just Energy Account 00335	ACC00000335	JE	Just Energy
Shell Energy Account 00336	ACC00000336	SE	Shell Energy
Pulse Power Account 00337	ACC00000337	PP	Pulse Power
Just Energy Account 00338	ACC00000338	JE	Just Energy
Shell Energy Account 00339	ACC00000339	SE	Shell Energy
Pulse Power Account 00340	ACC00000340	PP	Pulse Power
Just Energy Account 00341	ACC00000341	JE	Just Energy
Shell Energy Account 00342	ACC00000342	SE	Shell Energy
Pulse Power Account 00343	ACC00000343	PP	Pulse Power
Just Energy Account 00344	ACC00000344	JE	Just Energy
Shell Energy Account 00345	ACC00000345	SE	Shell Energy
Pulse Power Account 00346	ACC00000346	PP	Pulse Power
Just Energy Account 00347	ACC00000347	JE	Just Energy
Shell Energy Account 00348	ACC00000348	SE	Shell Energy
Pulse Power Account 00349	ACC00000349	PP	Pulse Power
Just Energy Account 00350	ACC00000350	JE	Just Energy
Shell Energy Account 00351	ACC00000351	SE	Shell Energy
Pulse Power Account 00352	ACC00000352	PP	Pulse Power
Just Energy Account 00353	ACC00000353	JE	Just Energy
Shell Energy Account 00354	ACC00000354	SE	Shell Energy
Pulse Power Account 00355	ACC00000355	PP	Pulse Power
Just Energy Account 00356	ACC00000356	JE	Just Energy
Shell Energy Account 00357	ACC00000357	SE	Shell Energy
Pulse Power Account 00358	ACC00000358	PP	Pulse Power
Just Energy Account 00359	ACC00000359	JE	Just Energy
Shell Energy Account 00360	ACC00000360	SE	Shell Energy
Pulse Power Account 00361	ACC00000361	PP	Pulse Power
Just Energy Account 00362	ACC00000362	JE	Just Energy
Shell Energy Account 00363	ACC00000363	SE	Shell Energy
Pulse Power Account 00364	ACC00000364	PP	Pulse Power
Just Energy Account 00365	ACC00000365	JE	Just Energy
Shell Energy Account 00366	ACC00000366	SE	Shell Energy
Pulse Power Account 00367	ACC00000367	PP	Pulse Power
Just Energy Account 00368	ACC00000368	JE	Just Energy
Shell Energy Account 00369	ACC00000369	SE	Shell Energy
Pulse Power Account 00370	ACC00000370	PP	Pulse Power
Just Energy Account 00371	ACC00000371	JE	Just Energy
Shell Energy Account 00372	ACC00000372	SE	Shell Energy
Pulse Power Account 00373	ACC00000373	PP	Pulse Power
Just Energy Account 00374	ACC00000374	JE	Just Energy
Shell Energy Account 00375	ACC00000375	SE	Shell Energy
Pulse Power Account 00376	ACC00000376	PP	Pulse Power
Just Energy Account 00377	ACC00000377	JE	Just Energy
Shell Energy Account 00378	ACC00000378	SE	Shell Energy
Pulse Power Account 00379	ACC00000379	PP	Pulse Power
Just Energy Account 00380	ACC00000380	JE	Just Energy
Shell Energy Account 00381	ACC00000381	SE	Shell Energy
Pulse Power Account 00382	ACC00000382	PP	Pulse Power
Just Energy Account 00383	ACC00000383	JE	Just Energy
Shell Energy Account 00384	ACC00000384	SE	Shell Energy
Pulse Power Account 00385	ACC00000385	PP	Pulse Power
Just Energy Account 00386	ACC00000386	JE	Just Energy
Shell Energy Account 00387	ACC00000387	SE	Shell Energy
Pulse Power Account 00388	ACC00000388	PP	Pulse Power
Just Energy Account 00389	ACC00000389	JE	Just Energy
Shell Energy Account 00390	ACC00000390	SE	Shell Energy
Pulse Power Account 00391	ACC00000391	PP	Pulse Power
Just Energy Account 00392	ACC00000392	JE	Just Energy
Shell Energy Account 00393	ACC00000393	SE	Shell Energy
Pulse Power Account 00394	ACC00000394	PP	Pulse Power
Just Energy Account 00395	ACC00000395	JE	Just Energy
Shell Energy Account 00396	ACC00000396	SE	Shell Energy
Pulse Power Account 00397	ACC00000397	PP	Pulse Power
Just Energy Account 00398	ACC00000398	JE	Just Energy
Shell Energy Account 00399	ACC00000399	SE	Shell Energy
Pulse Power Account 00400	ACC00000400	PP	Pulse Power
Just Energy Account 00401	ACC00000401	JE	Just Energy
Shell Energy Account 00402	ACC00000402	SE	Shell Energy
Pulse Power Account 00403	ACC00000403	PP	Pulse Power
Just Energy Account 00404	ACC00000404	JE	Just Energy
Shell Energy Account 00405	ACC00000405	SE	Shell Energy
Pulse Power Account 00406	ACC00000406	PP	Pulse Power
Just Energy Account 00407	ACC00000407	JE	Just Energy
Shell Energy Account 00408	ACC00000408	SE	Shell Energy
Pulse Power Account 00409	ACC00000409	PP	Pulse Power
Just Energy Account 00410	ACC00000410	JE	Just Energy
Shell Energy Account 00411	ACC00000411	SE	Shell Energy
Pulse Power Account 00412	ACC00000412	PP	Pulse Power
Just Energy Account 00413	ACC00000413	JE	Just Energy
Shell Energy Account 00414	ACC00000414	SE	Shell Energy
Pulse Power Account 00415	ACC00000415	PP	Pulse Power
Just Energy Account 00416	ACC00000416	JE	Just Energy
Shell Energy Account 00417	ACC00000417	SE	Shell Energy
Pulse Power Account 00418	ACC00000418	PP	Pulse Power
Just Energy Account 00419	ACC00000419	JE	Just Energy
Shell Energy Account 00420	ACC00000420	SE	Shell Energy
Pulse Power Account 00421	ACC00000421	PP	Pulse Power
Just Energy Account 00422	ACC00000422	JE	Just Energy
Shell Energy Account 00423	ACC00000423	SE	Shell Energy
Pulse Power Account 00424	ACC00000424	PP	Pulse Power
Just Energy Account 00425	ACC00000425	JE	Just Energy
Shell Energy Account 00426	ACC00000426	SE	Shell Energy
Pulse Power Account 00427	ACC00000427	PP	Pulse Power
Just Energy Account 00428	ACC00000428	JE	Just Energy
Shell Energy Account 00429	ACC00000429	SE	Shell Energy
Pulse Power Account 00430	ACC00000430	PP	Pulse Power
Just Energy Account 00431	ACC00000431	JE	Just Energy
Shell Energy Account 00432	ACC00000432	SE	Shell Energy
Pulse Power Account 00433	ACC00000433	PP	Pulse Power
Just Energy Account 00434	ACC00000434	JE	Just Energy
Shell Energy Account 00435	ACC00000435	SE	Shell Energy
Pulse Power Account 00436	ACC00000436	PP	Pulse Power
Just Energy Account 00437	ACC00000437	JE	Just Energy
Shell Energy Account 00438	ACC00000438	SE	Shell Energy
Pulse Power Account 00439	ACC00000439	PP	Pulse Power
Just Energy Account 00440	ACC00000440	JE	Just Energy
Shell Energy Account 00441	ACC00000441	SE	Shell Energy
Pulse Power Account 00442	ACC00000442	PP	Pulse Power
Just Energy Account 00443	ACC00000443	JE	Just Energy
Shell Energy Account 00444	ACC00000444	SE	Shell Energy
Pulse Power Account 00445	ACC00000445	PP	Pulse Power
Just Energy Account 00446	ACC00000446	JE	Just Energy
Shell Energy Account 00447	ACC00000447	SE	Shell Energy
Pulse Power Account 00448	ACC00000448	PP	Pulse Power
Just Energy Account 00449	ACC00000449	JE	Just Energy
Shell Energy Account 00450	ACC00000450	SE	Shell Energy
Pulse Power Account 00451	ACC00000451	PP	Pulse Power
Just Energy Account 00452	ACC00000452	JE	Just Energy
Shell Energy Account 00453	ACC00000453	SE	Shell Energy
Pulse Power Account 00454	ACC00000454	PP	Pulse Power
Just Energy Account 00455	ACC00000455	JE	Just Energy
Shell Energy Account 00456	ACC00000456	SE	Shell Energy
Pulse Power Account 00457	ACC00000457	PP	Pulse Power
Just Energy Account 00458	ACC00000458	JE	Just Energy
Shell Energy Account 00459	ACC00000459	SE	Shell Energy
Pulse Power Account 00460	ACC00000460	PP	Pulse Power
Just Energy Account 00461	ACC00000461	JE	Just Energy
Shell Energy Account 00462	ACC00000462	SE	Shell Energy
Pulse Power Account 00463	ACC00000463	PP	Pulse Power
Just Energy Account 00464	ACC00000464	JE	Just Energy
Shell Energy Account 00465	ACC00000465	SE	Shell Energy
Pulse Power Account 00466	ACC00000466	PP	Pulse Power
Just Energy Account 00467	ACC00000467	JE	Just Energy
Shell Energy Account 00468	ACC00000468	SE	Shell Energy
Pulse Power Account 00469	ACC00000469	PP	Pulse Power
Just Energy Account 00470	ACC00000470	JE	Just Energy
Shell Energy Account 00471	ACC00000471	SE	Shell Energy
Pulse Power Account 00472	ACC00000472	PP	Pulse Power
Just Energy Account 00473	ACC00000473	JE	Just Energy
Shell Energy Account 00474	ACC00000474	SE	Shell Energy
Pulse Power Account 00475	ACC00000475	PP	Pulse Power
Just Energy Account 00476	ACC00000476	JE	Just Energy
Shell Energy Account 00477	ACC00000477	SE	Shell Energy
Pulse Power Account 00478	ACC00000478	PP	Pulse Power
Just Energy Account 00479	ACC00000479	JE	Just Energy
Shell Energy Account 00480	ACC00000480	SE	Shell Energy
Pulse Power Account 00481	ACC00000481	PP	Pulse Power
Just Energy Account 00482	ACC00000482	JE	Just Energy
Shell Energy Account 00483	ACC00000483	SE	Shell Energy
Pulse Power Account 00484	ACC00000484	PP	Pulse Power
Just Energy Account 00485	ACC00000485	JE	Just Energy
Shell Energy Account 00486	ACC00000486	SE	Shell Energy
Pulse Power Account 00487	ACC00000487	PP	Pulse Power
Just Energy Account 00488	ACC00000488	JE	Just Energy
Shell Energy Account 00489	ACC00000489	SE	Shell Energy
Pulse Power Account 00490	ACC00000490	PP	Pulse Power
Just Energy Account 00491	ACC00000491	JE	Just Energy
Shell Energy Account 00492	ACC00000492	SE	Shell Energy
Pulse Power Account 00493	ACC00000493	PP	Pulse Power
